0,Will,33,385
1,Jean-Luc,26,2
2,Hugh,55,221
3,Deanna,40,465
4,Quark,68,21
5,Weyoun,59,318
6,Gowron,37,220
7,Will,54,307
8,Jadzia,38,380
9,Hugh,27,181
10,Odo,53,191
11,Ben,57,372
12,Keiko,54,253
13,Jean-Luc,56,444
14,Hugh,43,49
15,Rom,36,49
16,Weyoun,22,323
17,Odo,35,13
18,Jean-Luc,45,455
19,Geordi,60,246
20,Odo,67,220
21,Miles,19,268
22,Quark,30,72
23,Keiko,51,271
24,Julian,25,1
25,Ben,21,445
26,Julian,22,100
27,Leeta,42,363
28,Martok,49,476
29,Nog,48,364
30,Keiko,50,175
31,Miles,39,161
32,Nog,26,281
33,Dukat,53,197
34,Jean-Luc,43,249
35,Beverly,27,305
36,Kasidy,32,81
37,Geordi,58,21
38,Deanna,64,65
39,Morn,31,192
40,Odo,52,413
41,Hugh,67,167
42,Brunt,54,75
43,Guinan,58,345
44,Nerys,35,244
45,Dukat,52,77
46,Morn,25,96
47,Brunt,24,49
48,Nog,20,1
49,Ezri,40,254
50,Quark,51,283
51,Lwaxana,36,212
52,Beverly,19,269
53,Geordi,62,31
54,Brunt,19,5
55,Keiko,41,278
56,Gowron,44,194
57,Odo,57,294
58,Hugh,59,158
59,Morn,59,284
60,Geordi,20,100
61,Kasidy,62,442
62,Keiko,69,9
63,Jean-Luc,58,54
64,Elim,31,15
65,Guinan,52,169
66,Geordi,21,477
67,Jadzia,48,135
68,Guinan,33,74
69,Jean-Luc,30,204
70,Brunt,52,393
71,Geordi,45,184
72,Kasidy,22,179
73,Brunt,20,384
74,Leeta,65,208
75,Morn,40,459
76,Will,62,201
77,Weyoun,40,407
78,Data,61,337
79,Leeta,58,348
80,Dukat,67,445
81,Jadzia,54,440
82,Hugh,57,465
83,Geordi,32,308
84,Ben,28,311
85,Quark,66,383
86,Hugh,55,257
87,Ezri,31,481
88,Ben,66,188
89,Worf,24,492
90,Kasidy,33,471
91,Rom,46,88
92,Gowron,54,7
93,Elim,46,63
94,Morn,62,133
95,Odo,29,173
96,Ezri,25,233
97,Nerys,69,361
98,Will,44,178
99,Keiko,69,491
100,Jean-Luc,61,460
101,Morn,67,123
102,Dukat,40,18
103,Ezri,61,2
104,Dukat,32,142
105,Morn,50,417
106,Beverly,18,499
107,Will,64,419
108,Leeta,25,274
109,Quark,53,417
110,Nog,64,137
111,Nerys,37,46
112,Morn,25,13
113,Quark,41,244
114,Worf,33,275
115,Dukat,18,397
116,Ben,69,75
117,Rom,52,487
118,Ben,28,304
119,Worf,29,344
120,Jean-Luc,68,264
121,Deanna,35,355
122,Data,45,400
123,Jadzia,45,439
124,Data,47,429
125,Rom,66,284
126,Brunt,26,84
127,Miles,40,284
128,Julian,34,221
